	positive	neutral	negative	total
0780662911	6	0	4	10
0783222149	5	0	5	10
0780020731	14	0	6	20
0780622278	8	0	2	10
0767810872	8	0	2	10
0783219105	14	0	6	20
0782009123	8	0	2	10
0767000099	15	0	5	20
0767850262	8	0	2	10
0769720382	8	0	2	10
0767025784	9	0	1	10
0783114338	9	0	1	10
0738900672	10	0	10	20
0767819403	7	0	3	10
078322172X	8	0	2	10
0767817753	6	1	3	10
0783219458	6	0	4	10
0767821513	6	0	4	10
0780622375	8	0	2	10
076785117X	15	0	5	20
0767802454	15	0	5	20
0764000829	19	0	11	30
0615274641	12	1	7	20
0783222955	9	0	1	10
0783114729	8	0	2	10
0780625609	8	0	2	10
0780020618	7	0	3	10
0780613880	6	0	4	10
0767836286	11	0	9	20
0782007848	5	0	5	10
0783113943	5	1	4	10
0767847563	5	0	5	10
0767018702	5	0	5	10
0767817680	14	0	6	20
0767818059	7	0	3	10
0307142485	8	0	2	10
0767802616	7	0	3	10
0780023420	5	0	5	10
0783225261	7	0	3	10
0780623746	9	1	10	20
076780760X	5	0	5	10
0767026225	8	0	2	10
0783216084	10	0	10	20
0783222475	9	0	11	20
0780023110	7	0	3	10
0782008364	6	0	4	10
0767835948	5	0	5	10
0767818024	5	0	5	10
0782002064	6	0	4	10
078062565X	8	0	2	10
0782008348	17	0	3	20
0780625277	15	0	5	20
0767827740	5	0	5	10
0783201672	5	0	5	10
0780631684	29	1	10	40
0764009265	19	1	10	30
0780630106	8	0	2	10
0780022386	10	0	0	10
0783105533	5	0	5	10
0767804309	7	0	3	10
0767835069	4	0	6	10
0780630882	4	2	4	10
0780020847	7	0	3	10
0767821718	9	0	1	10
0767827902	4	0	6	10
0780621638	4	0	6	10
0783205945	6	0	4	10
0767806239	8	0	2	10
0780629450	7	1	2	10
0767813871	2	1	7	10
0767827694	4	0	6	10
0767802535	6	0	4	10
076782170X	7	0	3	10
0780020715	7	1	2	10
078062856X	6	0	4	10
0767819470	8	0	2	10
0767804252	5	1	4	10
0780627717	7	0	3	10
